X,Y,code,plant_name,capacity_mw,fuel_src_primary,primary_output,fuel_src_secondary,secondary_output
-97.1061,33.1975,4266,Spencer,122,Natural Gas,122,,
-90.47158,29.99527,4270,Waterford 3,1156.4,Nuclear,1156.4,,
-91.91265,44.30358,4271,John P Madgett,388.8,Coal,388.8,,
-98.3705,30.558,4937,Thomas C Ferguson,510,Natural Gas,510,,
-97.3117,27.6064,4939,Barney M Davis,968,Natural Gas,968,,
-95.9567,35.9978,4940,Riverside,1069.8,Natural Gas,1067,Petroleum,2.8
-111.3886,36.9047,4941,Navajo,2250,Coal,2250,,
-74.9654,39.3757,5083,Cumberland,183.1,Natural Gas,183.1,,
-86.56521,41.9756,6000,Donald C Cook,2069,Nuclear,2069,,
-85.1116,31.2231,6001,Joseph M Farley,1734,Nuclear,1734,,
-87.0597,33.6319,6002,James H Miller Jr,2675.2,Coal,2675.2,,
-81.29444,39.36667,6004,FirstEnergy Pleasants Power Station,1288,Coal,1288,,
-81.9081,38.9153,6006,Racine,20,Hydro,20,,
-112.8617,33.3881,6008,Palo Verde,3937,Nuclear,3937,,
-92.1406,34.4228,6009,White Bluff,1636.7,Coal,1636.7,,
-76.4417,38.4344,6011,Calvert Cliffs Nuclear Power Plant,1716,Nuclear,1716,,
-72.9303,42.7297,6012,Sherman,6.1,Hydro,6.1,,
-118.3147,34.1764,6013,Olive,99,Natural Gas,99,,
-78.0114,33.9597,6014,Brunswick,1870,Nuclear,1870,,
-78.9556,35.6334,6015,Harris,928,Nuclear,928,,
-89.9841,40.4663,6016,Duck Creek,410,Coal,410,,
-88.2781,38.9361,6017,Newton,1197,Coal,1197,,
-84.8514,38.9036,6018,East Bend,600,Coal,600,,
-84.2289,38.8675,6019,W H Zimmer,1344,Coal,1344,,
-81.1439,41.8006,6020,Perry,1256,Nuclear,1256,,
-107.5912,40.4627,6021,Craig,1304,Coal,1304,,
-88.2286,41.2435,6022,Braidwood Generation Station,2330,Nuclear,2330,,
-89.2819,42.0742,6023,Byron Generating Station,2300,Nuclear,2300,,
-88.66907,41.2455,6026,LaSalle Generating Station,2277,Nuclear,2277,,
-101.15706,47.37774,6030,Coal Creek,1140,Coal,1138,Petroleum,2
-83.4803,38.6903,6031,Killen Station,618,Coal,600,Petroleum,18
-82.495,42.7756,6034,Belle River,1518,Coal,1284,Natural Gas,222
-82.6964,43.1056,6035,Greenwood,997,Natural Gas,997,,
-81.0694,35.0514,6036,Catawba,2258,Nuclear,2258,,
-80.9486,35.4331,6038,McGuire,2258,Nuclear,2258,,
-80.4336,40.6219,6040,Beaver Valley,1835,Nuclear,1835,,
-83.8181,38.7,6041,H L Spurlock,1346,Coal,1346,,
-82.3456,27.6058,6042,Manatee,2735,Natural Gas,1111,Petroleum,1624
-80.5628,27.0536,6043,Martin,3695,Natural Gas,2043,Petroleum,1652
-80.24639,27.34861,6045,St Lucie,1968,Nuclear,1968,,
-81.33233,28.90386,6046,DeBary,637,Natural Gas,247,Petroleum,390
-72.70727,42.57308,6047,Deerfield 2,6.3,Hydro,6.3,,
-70.6314,41.3867,6049,West Tisbury Generating Facility,5.6,Petroleum,5.6,,
-82.3447,31.9342,6051,Edwin I Hatch,1759,Nuclear,1759,,
-85.03233,33.41342,6052,Wansley,1793,Coal,1744,Petroleum,49
-91.3692,30.7261,6055,Big Cajun 2,1756,Coal,1756,,
-156.4627,20.89688,6056,Kahului,32.4,Petroleum,32.4,,
-92.4908,44.0322,6058,Cascade Creek,77.4,Natural Gas,77.4,,
-116.1714,33.6758,6060,Coachella,81.6,Natural Gas,81.6,,
-89.394,31.2186,6061,R D Morrow,360,Coal,360,,
-92.4205,42.4407,6063,Electrifarm,195.1,Natural Gas,195.1,,
-94.6975,39.1681,6064,Nearman Creek,305,Coal,229,Natural Gas,76
-94.98,39.4472,6065,Iatan,1593.8,Coal,1593.8,,
-96.11723,39.28645,6068,Jeffrey Energy Center,2179,Coal,2179,,
-85.4117,38.5847,6071,Trimble County,2185,Coal,1243,Natural Gas,942
-91.0478,32.0081,6072,Grand Gulf,1413.4,Nuclear,1413.4,,
-88.5553,30.5322,6073,Victor J Daniel Jr,1992,Coal,1020,Natural Gas,972
-94.2982,38.8615,6074,Greenwood,246.8,Natural Gas,246.8,,
-106.614,45.8831,6076,Colstrip,2094,Coal,2094,,
-101.1408,41.0808,6077,Gerald Gentleman,1365,Coal,1365,,
-72.5106,42.1978,6081,Stony Brook,439.7,Petroleum,439.7,,
-78.60472,43.35889,6082,Somerset Operating Co LLC,685.5,Coal,685.5,,
-72.7335,42.5995,6083,Deerfield 3,6.3,Hydro,6.3,,
-87.0261,41.2164,6085,R M Schahfer,1780,Coal,1625,Natural Gas,155
-91.15743,45.16402,6086,Cornell,19.9,Hydro,19.9,,
-83.1574,33.3498,6087,Wallace Dam,328,Hydro,114.8,Pumped Storage,213.2
-111.1262,32.401,6088,North Loop,95,Natural Gas,95,,
-104.15665,47.6785,6089,Lewis & Clark,53.1,Coal,53.1,,
-93.8931,45.3808,6090,Sherburne County,2242.8,Coal,2242.8,,
-96.99049,42.89766,6092,Spirit Mound,100.1,Petroleum,100.1,,
-80.4159,40.6348,6094,FirstEnergy Bruce Mansfield,2510,Coal,2510,,
-97.05279,36.45307,6095,Sooner,1035.5,Coal,1035.5,,
-95.7764,40.6214,6096,Nebraska City,1339.3,Coal,1339.3,,
-96.51007,45.30365,6098,Big Stone,475.6,Coal,475,Petroleum,0.6
-120.85554,35.21154,6099,Diablo Canyon,2240,Nuclear,2240,,
-118.96825,37.0293,6100,Helms Pumped Storage,1212,Pumped Storage,1212,,
-105.38148,44.29013,6101,Wyodak,332,Coal,332,,
-76.1462,41.0919,6103,PPL Susquehanna,2520,Nuclear,2520,,
-75.58744,40.2243,6105,Limerick,2296,Nuclear,2296,,
-119.80882,45.69318,6106,Boardman,585,Coal,585,,
-76.40839,43.52139,6110,James A Fitzpatrick,848.4,Nuclear,848.4,,
-104.8742,40.2461,6112,Fort St Vrain,969,Natural Gas,969,,
-87.76583,38.37222,6113,Gibson,3132,Coal,3132,,
-70.84889,42.89917,6115,Seabrook,1246.2,Nuclear,1246.2,,
-75.5377,39.4666,6118,PSEG Hope Creek Generating Station,1161,Nuclear,1161,,
-72.7376,42.6198,6119,Deerfield 4,6.3,Hydro,6.3,,
-122.68609,48.82878,6120,Whitehorn,134,Natural Gas,134,,
-77.3099,43.2777,6122,R E Ginna Nuclear Power Plant,581.7,Nuclear,581.7,,
-81.16835,32.35629,6124,McIntosh,814.1,Coal,156.5,Natural Gas,657.6
-71.7172,42.2747,6125,Shrewsbury,14,Petroleum,14,,
-81.3308,34.3061,6126,Fairfield Pumped Storage,576,Pumped Storage,576,,
-81.3153,34.2983,6127,V C Summer,971,Nuclear,971,,
-101.06011,29.44983,6128,Amistad Dam & Power,58,Hydro,58,,
-84.6733,34.6121,6130,Carters,572,Hydro,286,Pumped Storage,286
-86.78432,32.32424,6131,Jones Bluff,82,Hydro,82,,
-82.5953,34.0256,6132,Richard B Russell,664,Hydro,336,Pumped Storage,328
-85.1887,32.91867,6133,West Point,80,Hydro,80,,
-96.08185,30.61994,6136,Gibbons Creek,470,Coal,470,,
-87.715,37.9053,6137,A B Brown,650,Coal,490,Natural Gas,160
-94.5241,36.2561,6138,Flint Creek,528,Coal,528,,
-94.83999,33.05522,6139,Welsh,1584,Coal,1584,,
-91.64397,39.52479,6140,Clarence Cannon,58,Hydro,27,Pumped Storage,31
-93.4062,38.2623,6141,Harry Truman,186,Pumped Storage,186,,
-93.8175,35.4693,6142,Ozark,115,Hydro,115,,
-94.69315,39.29725,6144,Kansas City International,33.6,Natural Gas,33.6,,
-97.78552,32.29837,6145,Comanche Peak,2400,Nuclear,2400,,
-94.5706,32.2606,6146,Martin Lake,2410,Coal,2410,,
-95.0417,33.0917,6147,Monticello,1865,Coal,1865,,
-83.0861,41.5967,6149,Davis Besse,894,Nuclear,894,,
-85.9278,34.7092,6150,Bellefonte,14,Petroleum,14,,
-85.38793,35.05579,6151,Raccoon Mountain,1616.3,Pumped Storage,1616.3,,
-85.0917,35.2267,6152,Sequoyah,2277.7,Nuclear,2277.7,,
-91.77884,38.75892,6153,Callaway,1194,Nuclear,1194,,
-90.26316,38.13125,6155,Rush Island,1182,Coal,1182,,
-72.90432,41.284,6156,New Haven Harbor,577.5,Petroleum,577.5,,
-120.52821,37.94693,6158,New Melones,382,Hydro,382,,
-107.62534,38.51057,6159,Crystal,35,Hydro,35,,
-118.97732,47.95751,6163,Grand Coulee,7079,Hydro,6765,Pumped Storage,314
-111.0289,39.1747,6165,Hunter,1361,Coal,1361,,
-87.0372,37.9256,6166,Rockport,2600,Coal,2600,,
-79.8,38.20889,6167,Bath County,3003,Pumped Storage,3003,,
-77.7897,38.06,6168,North Anna,1891.9,Nuclear,1890.9,Hydro,1
-87.9033,42.5381,6170,Pleasant Prairie,1190,Coal,1188,Petroleum,2
-84.27,36.9614,6171,Laurel,61,Hydro,61,,
-115.3143,48.4098,6172,Libby,525,Hydro,525,,
-122.6772,42.6717,6174,Lost Creek,49,Hydro,49,,
-117.42939,46.6595,6175,Lower Granite,810,Hydro,810,,
-109.2708,34.5789,6177,Coronado,758,Coal,758,,
-97.21417,28.7128,6178,Coleto Creek,635,Coal,635,,
-96.7506,29.9172,6179,Fayette Power Project,1641,Coal,1641,,
-96.4866,31.1803,6180,Oak Grove,1665,Coal,1665,,
-98.3228,29.30806,6181,J T Deely,840,Coal,840,,
-98.4775,28.7044,6183,San Miguel,391,Coal,391,,
-85.61605,33.25828,6188,Harris Dam,132,Hydro,132,,
-85.30394,34.35554,6189,Rocky Mountain Hydroelectric Plant,1035,Pumped Storage,1035,,
-92.71667,31.395,6190,Brame Energy Center,1543,Coal,493,Natural Gas,422
-101.74719,35.29816,6193,Harrington,1018,Coal,1018,,
-102.56999,34.18649,6194,Tolk,1067,Coal,1067,,
-93.38804,37.15171,6195,John Twitty Energy Center,563,Coal,459,Natural Gas,104
-118.7881,34.6853,6196,W E Warne,76,Hydro,76,,
-120.0917,47.34611,6200,Rock Island,503.2,Hydro,503.2,,
-121.06788,48.73258,6202,Ross,378,Hydro,378,,
-104.8825,42.10889,6204,Laramie River Station,1710,Coal,1710,,
-107.78279,37.52372,6206,Tacoma,4.6,Hydro,4.6,,
-107.8831,37.866,6207,Ames Hydro,3.8,Hydro,3.8,,
-106.35233,39.0942,6208,Mount Elbert,230,Pumped Storage,230,,
-117.37054,47.73511,6210,Northeast,45,Natural Gas,45,,
-122.28185,37.79675,6211,Dynegy Oakland Power Plant,165,Petroleum,165,,
-87.5108,39.0694,6213,Merom,977,Coal,977,,
-90.91195,41.59976,6220,Durant,6.5,Petroleum,6.5,,
-94.1041,37.1385,6223,Empire Energy Center,262,Natural Gas,262,,
-86.9146,38.4004,6225,Jasper 2,13.6,Coal,13.6,,
-97.5925,40.8667,6229,Mobile,3.1,Petroleum,3.1,,
-92.71621,45.15755,6231,Apple River,1.4,Hydro,1.4,,
-90.61412,39.44919,6238,Pearl Station,20.1,Petroleum,20.1,,
-96.4608,30.7217,6243,Dansby,204.2,Natural Gas,204.2,,
-81.58508,29.62834,6246,Putnam,498,Natural Gas,498,,
-103.6803,40.2217,6248,Pawnee,505,Coal,505,,
-79.35722,33.33194,6249,Winyah,1130,Coal,1130,,
-78.8917,36.5278,6250,Mayo,727,Coal,727,,
-96.0481,28.795,6251,South Texas Project,2560,Nuclear,2560,,
-88.1496,43.1952,6253,Germantown,258,Natural Gas,78,Petroleum,180
-92.55583,41.0961,6254,Ottumwa,718.4,Coal,718.4,,
-83.8075,33.0606,6257,Scherer,3406.7,Coal,3406.7,,
-81.74829,33.13771,6258,Wilson,278.5,Petroleum,278.5,,
-81.9344,38.9794,6264,Mountaineer,1299,Coal,1299,,
